Sample,Latitude,Longitude,Rurality,Population Density,Koppen
359,38.8,-89.9,12,57.29394913,25
361,42.3,-71.4,30,2080.511475,25
362,40.1,-83,30,773.2439575,25
366,43.5,-90,11,19.45834351,25
367,40.6,-80.3,21,351.6806946,25
373,37,-92.6,11,7.839662075,25
375,42.1,-72.6,30,118.4074554,25
376,39.1,-94.6,30,118.8014221,25
377,42.4,-71.1,30,7558.570313,25
378,40.4,-79.9,30,3019.556641,25
384,43,-89.5,11,33.14873505,25
393,41.8,-74.2,12,61.13405609,25
396,42.9,-89.2,11,0,25
400,43,-78.8,30,1734.614868,25
402,38.7,-85.2,11,20.63879204,25
403,40.3,-74.9,13,367.2527466,25
404,39.4,-77.3,22,630.5686035,25
411,42.4,-71.1,30,7558.570313,25
412,40.7,-74,30,14608.01758,25
415,41.7,-72.2,21,718.3595581,25
422,40.4,-80.1,30,1350.841797,25
423,41.3,-89.1,11,37.7237854,25
426,39,-95.8,21,413.8486938,25
430,43,-78.9,30,128.949295,25
434,39.4,-86,11,0.795672476,25
448,43.1,-87.9,30,1501.328369,25
451,40.2,-74.7,30,2252.435303,25
453,42.3,-71.2,30,1180.863159,25
464,41.7,-72.9,23,1141.708496,25
466,39.5,-84.7,12,92.79832459,25
467,42.3,-71.1,30,655.6755371,25
468,41.3,-72.9,30,607.2496338,25
471,39.4,-77.5,11,36.33502197,25
475,41.9,-88.8,11,3.82376194,25
476,41.9,-87.9,30,1472.888428,25
486,40.7,-74.3,30,1962.728394,25
487,39.2,-78.1,11,0,25
488,44.9,-93.2,30,1394.591675,25
491,42.7,-82.9,11,4.696250916,25
492,42.4,-71.1,30,7558.570313,25
495,42.3,-83.3,30,876.2398071,25
497,43.1,-92.3,11,6.855842113,25
501,40,-75.8,21,743.5050049,25
502,42.4,-71.1,30,7558.570313,25
521,42.4,-71.1,30,7558.570313,25
522,40.3,-79.6,11,24.70923233,25
523,40.8,-77.8,12,168.1412354,25
525,41.6,-91,11,3.324867248,25
532,43.7,-93,11,16.80250931,25
533,40.1,-83,30,773.2439575,25
535,42.8,-71.6,12,193.5801697,25
539,38.8,-90.6,30,145.5639954,25
544,38.6,-90.2,30,60.57171249,25
555,37.8,-88.4,11,0,25
559,43.1,-75.3,21,806.7098389,25
562,43,-89.6,11,27.5603714,25
569,39.7,-75.6,30,55.85731888,25
570,40.2,-75,21,1056.17041,25
573,44.9,-93.2,30,1394.591675,25
575,43,-89.7,11,3.508079767,25
585,42.4,-71,30,3014.693604,25
589,38.1,-81.1,11,0,25
591,40.8,-91.2,11,0,25
592,43.1,-75.3,21,806.7098389,25
593,42.8,-88.9,11,5.785829067,25
595,42.1,-72.6,30,118.4074554,25
596,42.1,-88,30,2629.219482,25
604,37.3,-90.1,11,0,25
606,44.9,-93.3,30,2352.990234,25
607,44.9,-93.2,30,1394.591675,25
608,39.1,-94.6,30,118.8014221,25
611,41.8,-71.4,30,578.1711426,25
619,42.6,-70.9,12,115.8673401,25
621,41.6,-74.1,12,146.7391815,25
625,42.4,-71.2,30,841.3615112,25
633,39,-94.7,30,1092.728027,25
637,41.7,-71.4,30,1853.961914,25
638,42.5,-85.5,11,33.24815369,25
642,42.7,-86,11,3.441304207,25
648,42.1,-80.1,30,2224.500244,25
649,41.8,-91.1,11,4.613826275,25
651,38.8,-92,11,20.45156479,25
653,42.5,-83.7,11,25.05208969,25
659,44.1,-91.7,11,0,25
660,45,-93.3,30,2608.353516,25
661,40.3,-74.5,11,32.12650299,25
663,42.4,-71.2,30,841.3615112,25
664,38.4,-79,11,15.30252838,25
665,40.7,-73.5,30,2439.324951,25
666,43.3,-88.6,11,5.710517407,25
668,40,-75.2,30,3001.827637,25
673,42.3,-71.1,30,655.6755371,25
675,42.2,-83.7,21,679.3444214,25
677,37.6,-88.5,11,6.16376543,25
680,39,-94.6,30,2219.466797,25
683,41.1,-73.8,30,376.6283264,25
684,43.1,-88.2,11,9.57354641,25
685,43.1,-87.9,30,1501.328369,25
689,40.8,-89.6,21,303.7198181,25
690,41.6,-93.5,12,207.5608521,25
693,37.2,-93.3,30,2494.80957,25
695,42.9,-71.3,21,407.5005798,25
696,42.8,-88.8,11,2.804828167,25
702,41,-74.9,11,21.97233009,25
704,39,-92.4,12,77.22439575,25
707,39.2,-78.1,11,0,25
708,42.4,-71.1,30,7558.570313,25
710,41.9,-87.7,30,4853.135254,25
713,40.9,-74.8,11,0,25
714,40,-82.9,30,0,25
716,40,-83,30,2875.095215,25
717,43.1,-88.1,30,504.0400696,25
719,42.9,-78.8,30,1810.61084,25
728,41.5,-72.7,12,127.3621368,25
731,43.1,-89.4,10,0,25
732,40.1,-88.2,30,2945.566895,25
733,39.7,-80,11,12.95116425,25
736,42.2,-72.3,11,7.894715309,25
737,41.8,-71.4,30,578.1711426,25
740,42.7,-89.2,11,0.326615721,25
741,38.1,-87.6,12,157.7540283,25
744,39.2,-78.2,11,10.22848892,25
747,40.9,-96.7,11,5.182560921,25
754,38.4,-78.9,12,102.2364349,25
758,39.7,-79.9,11,30.51740456,25
761,37,-93.4,11,32.25168991,25
763,43,-89.5,11,33.14873505,25
765,41.2,-96,30,1437.955688,25
766,42.1,-71.2,12,59.43069458,25
772,45,-93.2,30,556.1002808,25
775,42,-87.7,30,10477.38672,25
779,39.3,-78.9,11,2.001562118,25
781,37.2,-80.4,21,735.3563843,25
784,42.4,-71.2,30,841.3615112,25
787,41.5,-81.7,30,1746.467163,25
790,40.6,-75.5,30,3282.0354,25
791,43,-88,30,2781.849121,25
794,42.2,-88.3,12,72.79779053,25
796,38.5,-92.2,12,112.565712,25
799,39.1,-84.5,30,1325.75415,25
804,39.7,-79.9,11,30.51740456,25
814,40.7,-74,30,14608.01758,25
825,38.9,-85.9,11,0,25
831,38.7,-90.5,12,146.9523315,25
832,42.5,-71.1,30,2526.801025,25
837,40.8,-83.8,11,6.955038548,25
838,43.2,-87.9,21,157.3387756,25
839,40,-75.2,30,3001.827637,25
842,38.4,-85.4,12,185.8349152,25
843,42.9,-71.4,12,197.2394562,25
844,39.7,-86.1,30,2131.255127,25
849,40.3,-76.8,30,1389.802856,25
854,45.5,-94.1,11,0,25
856,42.1,-93.6,11,0,25
858,42.4,-71.1,30,7558.570313,25
860,44.9,-91.4,21,856.8237915,25
866,43.1,-89.5,30,1489.949951,25
867,42.5,-70.9,30,2517.797363,25
869,41.7,-71.8,12,168.7769623,25
870,40,-75.7,23,1022.018982,25
874,41.2,-73.2,30,5265.609863,25
879,41.9,-87.6,10,0,25
886,39.2,-76.9,21,640.9889526,25
891,39.3,-94.9,12,69.04686737,25
892,42.6,-88.4,11,24.57316017,25
894,42.4,-71.1,30,7558.570313,25
895,42.4,-71.1,30,7558.570313,25
896,40.9,-80.8,12,51.42457199,25
905,43,-71.5,21,1039.527222,25
909,39.8,-84.1,21,691.7988281,25
910,42.2,-71.2,23,2708.293213,25
916,40.3,-75.3,11,19.59338379,25
918,41.3,-73.8,23,769.6292114,25
919,37.2,-93.1,12,54.00633621,25
921,37.2,-80.4,21,735.3563843,25
922,40.4,-79.9,30,3019.556641,25
926,40.7,-74,30,14608.01758,25
927,40.7,-74,30,14608.01758,25
928,40,-86.2,12,66.41684723,25
929,40.3,-74.8,11,9.566317558,25
930,42.5,-71.1,30,2526.801025,25
932,41,-80.6,21,1054.861816,25
933,40.7,-74,30,14608.01758,25
934,41.6,-93.6,30,1786.747803,25
937,40.7,-74,30,14608.01758,25
938,43.9,-88.5,11,16.16662216,25
939,41.9,-71.4,30,1064.911743,25
943,42.1,-70.7,21,541.6085815,25
947,39.1,-78,11,33.20535278,25
949,40.7,-80.1,21,342.7409668,25
950,42,-87.7,30,10477.38672,25
951,40.8,-74.4,21,736.2241821,25
959,42.4,-71.1,30,7558.570313,25
966,42.4,-71.2,30,841.3615112,25
969,39.8,-86.1,30,614.0831299,25
973,42.7,-92.6,11,0,25
980,41.9,-87.6,10,0,25
982,43.8,-88.5,12,76.09790802,25
986,40.8,-77.9,30,2036.025269,25
988,40.7,-74,30,14608.01758,25
993,37.7,-97.2,21,799.0344849,25
999,42.5,-83,30,2270.673584,25
1001,40.8,-74,30,10984.79004,25
1003,42.4,-71.1,30,7558.570313,25
1004,41.5,-87.7,30,1506.637939,25
1008,43.2,-78.7,12,84.28785706,25
1009,40.1,-77.1,11,2.546017647,25
1011,41.8,-87.6,30,10166.56445,25
1015,37.8,-80.4,11,7.113666534,25
1020,40.3,-111.7,30,2678.445313,25
1022,39.5,-80.1,12,244.8945465,25
1023,39.9,-83.1,30,365.650177,25
1027,40.2,-80.2,11,33.13588715,25
1028,41.4,-81.9,30,232.3570404,25
1029,42.1,-76.8,23,1259.267456,25
1030,40,-83.1,30,717.2965088,25
1031,40.6,-79.7,12,162.7264862,25
1032,42.3,-83.6,11,0.310879976,25
1034,40.7,-74.4,30,1902.006836,25
1035,40.8,-74,30,10984.79004,25
1037,39.1,-92.4,12,90.44257355,25
1038,40.8,-111.9,11,0,25
1041,41.5,-81.8,30,0,25
1045,42.5,-71.4,12,253.4988861,25
1048,42,-87.7,30,10477.38672,25
1051,37.1,-93.5,11,2.910917044,25
1052,40.8,-74.2,30,3838.759277,25
1055,40.8,-74,30,10984.79004,25
1056,40.8,-96.7,30,4642.501953,25
1060,40.6,-74,30,22341.16211,25
1063,40.3,-76.9,30,833.0949707,25
1065,41.4,-73.4,12,235.0754089,25
1067,42.3,-71.2,30,1180.863159,25
1068,42.8,-84.4,11,7.089454174,25
1072,41.1,-74.4,12,65.75699615,25
1073,40.8,-74,30,10984.79004,25
1075,40.1,-85.7,23,1156.926392,25
1076,41.7,-71.5,30,266.8653259,25
1078,41,-76.6,11,45.93761444,25
1081,38.5,-94.7,11,9.876261711,25
1085,41.9,-87.7,30,4853.135254,25
1086,42.4,-71.2,30,841.3615112,25
1089,42.2,-91.7,11,12.07178307,25
1091,42.2,-71.8,12,84.65258026,25
1093,38.5,-89,11,10.53205395,25
1095,42,-91.6,12,136.2978668,25
1097,43,-78.8,30,1734.614868,25
1098,42.3,-83.8,21,330.2188721,25
1099,44.1,-92.6,11,0,25
1101,39.1,-88.5,11,33.58585739,25
1103,41.8,-87.8,30,2026.182129,25
1104,42.4,-71.2,30,841.3615112,25
1107,45,-93.2,30,556.1002808,25
1108,38,-91.7,11,0,25
1111,41.6,-85.8,11,8.252199173,25
1115,42,-87.7,30,10477.38672,25
1118,43,-88.3,11,40.93536758,25
1119,42.7,-76.7,10,0,25
1122,41.5,-93.7,11,0.993543148,25
1123,41.2,-73.8,12,223.7074432,25
1124,41.3,-72.4,12,64.97437286,25
1127,41.5,-82,21,784.6876221,25
1129,42.3,-85.6,30,2182.43042,25
1131,39,-94.9,11,12.50784683,25
1134,39.9,-86.3,12,109.0842819,25
1138,40.3,-76,21,603.6466675,25
1143,40.7,-74,30,14608.01758,25
1144,45.3,-94.3,11,2.105449438,25
1148,40.8,-111.9,11,0,25
1155,41,-74,30,919.1364746,25
1158,40.7,-74.1,30,6947.871582,25
1161,40.3,-74.1,30,317.5620117,25
1162,40.5,-88,11,1.575457811,25
1163,40.8,-74.4,21,736.2241821,25
1165,38.9,-94.8,30,1258.062378,25
1167,40.7,-74,30,14608.01758,25
1174,37.2,-80.5,11,10.51655769,25
1176,40.7,-74,30,14608.01758,25
1177,40.8,-74,30,10984.79004,25
1183,39.7,-78.7,11,14.59804344,25
1186,39.5,-77.5,11,5.505049706,25
1188,42.1,-80.1,30,2224.500244,25
1191,42.5,-71.4,12,253.4988861,25
1192,42.4,-71.3,13,491.0845642,25
1193,39.3,-84.4,30,917.9904785,25
1195,42.4,-71,30,3014.693604,25
1197,42.1,-75.9,30,2250.523926,25
1201,42.7,-84.5,11,42.72498703,25
1202,40.4,-80,30,991.6077881,25
1203,40.2,-74.8,30,29.36502457,25
1207,39.2,-77.3,12,163.0445709,25
1209,41.8,-111.8,12,137.1743164,25
1213,42.5,-71.4,12,253.4988861,25
1214,42.9,-85.4,11,45.52429962,25
1216,40.7,-74,30,14608.01758,25
1219,42.3,-83.7,23,1616.854858,25
1220,42,-93.6,12,281.0273438,25
1227,42.8,-84.4,11,7.089454174,25
1229,38.8,-90.3,30,1411.304932,25
1230,40.7,-74,30,14608.01758,25
1231,40.7,-74,30,14608.01758,25
1232,42.9,-87.9,30,178.4178467,25
1236,42.2,-71.4,12,131.0491333,25
1242,45,-93.3,30,2608.353516,25
1246,42.5,-71.2,30,518.4879761,25
1250,42.4,-71.3,13,491.0845642,25
1253,42.4,-71.1,30,7558.570313,25
1258,40.9,-72.7,11,0,25
1262,37.9,-79.3,11,35.44942856,25
1264,45,-93.3,30,2608.353516,25
1266,42.6,-83.7,12,114.4250946,25
1270,42.4,-71.2,30,841.3615112,25
1271,40.7,-74,30,14608.01758,25
1272,41.9,-87.7,30,4853.135254,25
1273,46.9,-96.9,12,55.70845795,25
1278,39.9,-85.9,11,8.27749157,25
1288,38.8,-90.7,30,430.4692993,25
1297,42.3,-83.7,23,1616.854858,25
1299,40.9,-74.4,12,284.9849548,25
1304,41.9,-80.8,23,739.3434448,25
1307,40.8,-74,30,10984.79004,25
1310,44.5,-103.9,12,165.7742004,25
1314,43.1,-77.5,21,375.6774292,25
1322,41.3,-73.5,22,645.2471924,25
1324,41.4,-73.9,11,0,25
1326,39.5,-78,21,371.0969849,25
1328,43.1,-77.5,21,375.6774292,25
1339,40,-80.7,11,0,25
1343,40.8,-74,30,10984.79004,25
1346,40.7,-74,30,14608.01758,25
1348,40.6,-79.7,12,162.7264862,25
1350,43,-78.8,30,1734.614868,25
1354,38.3,-82.1,11,0,25
1356,40.7,-74,30,14608.01758,25
1357,42.4,-71.3,13,491.0845642,25
1362,40,-76.2,12,52.18531418,25
1366,38.4,-78.9,12,102.2364349,25
1368,39.4,-81.4,12,76.19352722,25
1373,39.9,-83.8,23,1251.465942,25
1377,44,-92.5,21,408.7529907,25
1381,37.3,-80.6,11,34.42966843,25
1385,42,-93.6,12,281.0273438,25
1391,40.9,-81.6,22,450.6719666,25
1395,41.6,-93.7,30,1417.303467,25
1396,39.9,-80.7,11,0.184055448,25
1399,39,-80.5,11,0,25
1400,42.5,-90.7,30,2150.185791,25
1405,42.2,-85.6,30,424.1150818,25
1407,43.6,-96.7,11,49.09825516,25
1408,37,-92,11,2.876104832,25
1413,42.3,-83.1,30,311.7150574,25
1415,37.1,-80.6,11,4.770816326,25
1422,41.8,-95.9,11,0,25
1428,40.7,-89.6,30,2228.512695,25
1431,38.1,-91.8,11,1.301198244,25
1433,40.7,-74,30,14608.01758,25
1438,40.1,-88.2,30,2945.566895,25
1439,39.9,-75.4,21,636.0535278,25
1441,40.7,-74.5,11,19.24302483,25
1445,37.1,-80.4,11,3.271817923,25
1448,43.7,-97,11,4.476124763,25
1455,39.6,-86.9,12,158.9738464,25
1459,43,-88.1,30,829.7466431,25
1460,39.8,-75.7,21,420.1411438,25
1469,39.3,-77.8,11,46.96605301,25
1476,42,-74,12,137.7714081,25
1477,39.8,-86.2,30,1165.830811,25
1478,40.7,-73.7,30,4817.148438,25
1481,40.6,-74,30,22341.16211,25
1483,41.7,-86.2,30,1135.222534,25
1489,43,-78.8,30,1734.614868,25
1493,40.7,-73.9,30,20680.05078,25
1504,37.2,-80.4,21,735.3563843,25
1510,40.3,-76.9,30,833.0949707,25
1521,40.7,-80.6,11,38.39637375,25
1529,42.4,-71.1,30,7558.570313,25
1530,37.2,-93.2,12,250.8251953,25
1535,41.8,-71.4,30,578.1711426,25
1539,42.4,-71.1,30,7558.570313,25
1545,40.8,-77.9,30,2036.025269,25
1549,42.1,-80.2,11,0,25
1550,39,-95.7,30,1156.563965,25
1552,44.9,-93.3,30,2352.990234,25
1554,41.9,-87.6,10,0,25
1556,40.7,-77.9,11,0,25
1560,37.2,-80.4,21,735.3563843,25
1561,40.4,-90.7,11,3.273168325,25
1573,39.1,-94.6,30,118.8014221,25
1579,40.8,-77.9,30,2036.025269,25
1599,42.4,-71.2,30,841.3615112,25
1601,43.1,-89.4,10,0,25
1602,44.6,-93.2,11,5.447048664,25
1603,41.5,-88.1,30,270.5717163,25
1611,42.4,-71.1,30,7558.570313,25
1615,42.4,-71.1,30,7558.570313,25
1617,41.4,-73.1,21,336.3869324,25
1619,37.3,-93.2,11,2.647369385,25
1622,40,-75.7,23,1022.018982,25
1623,42.5,-71.1,30,2526.801025,25
1624,42.2,-85.6,30,424.1150818,25
1633,41.7,-88.1,30,3832.648682,25
1634,40.3,-76.4,11,15.01258183,25
1636,42,-87.7,30,10477.38672,25
1637,37.7,-89.2,21,413.3891296,25
1638,42.9,-87.9,30,178.4178467,25
1639,42.3,-84.4,21,2178.19043,25
1640,39.3,-84.4,30,917.9904785,25
1643,40.7,-74,30,14608.01758,25
1644,42.1,-87.9,30,1647.755005,25
